"participant_code","mode_survey","assign_date","assign_week_day","actual_date","actual_week_day","actual_hour","age_or_range","age_or_mid_range","gender","full_or_part_time","work_role","edu","indiv_or_family_income","income_mid_range","place_birth","district","ethnicity","permanent_residence","num_usual_contacts","total_hrs_participant","age_weights","houseSize","distance","weights"
10105130,1,379,6,400.4662268518,1,11,1,"11-19",0,999,4,"secondary",2,"20-39k",1,11,1,1,4,9.35,20.0400801603206,"4",0.159975993620941,1
10495813,0,318,1,315.870740740793,0,20,1,"11-19",1,1,4,"secondary",2,"10-19k",1,14,1,1,4,0.475,16.4473684210526,"4",0.354501501814222,1
10532697,0,30,7,31.5577199073741,0,13,1,"21-40",0,1,4,"postsec",1,"<10k",1,5,1,1,3,3.11666666666667,15.3374233128834,"3",0.207413344936393,1
10739775,0,27,4,32.6398263889132,0,15,1,"11-19",0,1,4,"secondary",999,"unknown",1,18,1,1,3,0.158333333333333,16.4473684210526,"3",0.107242195992155,1
10822794,1,98,5,105.739710648195,0,17,1,">65",1,2,999,"secondary",1,"<10k",997,14,1,1,3,5.15833333333333,7.96178343949044,"3",0.992296598182504,1
10977706,1,352,7,370.690300925868,0,16,2,"21-40",0,1,1,"postsec",1,"10-19k",1,8,1,1,3,11.1166666666667,12.970168612192,"3",0.196749243892774,1
11006409,0,85,6,85.4867129629711,1,11,2,"41-65",1,999,999,"secondary",999,"unknown",1,5,1,1,3,8,12.2399020807834,"3",0.296987979374375,1
11037821,1,336,5,364.498194444459,0,11,1,"41-65",1,999,6,"secondary",999,"unknown",1,5,1,1,2,1.23333333333333,14.5348837209302,"2",0.396337280541258,1
11164072,1,349,4,391.546840277733,0,13,1,"0-10",0,999,4,"primary",999,"unknown",1,13,1,1,5,29.4666666666667,27.9329608938547,">=5",0.290930677972753,1
11170632,0,395,1,411.849849537015,0,20,1,"0-10",1,1,4,"primary",2,">=40k",1,5,1,1,7,9.61666666666667,23.5294117647059,">=5",0.362353167785734,1
11249443,0,331,7,333.483912036987,0,11,2,"41-65",1,999,999,"postsec",999,"unknown",999,999,1,1,3,0.0416666666666667,18.9035916824197,"3",0.188250248807974,1
11256889,0,314,4,314.814039351884,0,19,2,"11-19",1,1,1,"secondary",1,"10-19k",2,13,1,1,4,0.0416666666666667,16.4473684210526,"4",0.354501501814222,1
11294271,0,339,1,339.892662037048,0,21,1,"21-40",0,1,1,"postsec",1,"10-19k",2,3,1,1,2,4,12.9032258064516,"2",0.182509172000242,1
11319336,1,109,2,118.434826388839,0,10,1,"0-10",0,2,4,"primary",2,">=40k",1,9,1,1,5,33.5,23.5294117647059,">=5",0.312557022757446,1
